,mice_id,num_stim,condition,decision_score,duration_reward,max_instance_speed2safezone,distance_under_threat,latency_to_first_escape,latent1D,change_trial
433,idm42_F133,2,water_high,2,0.266666667,67.12662252,88.88639107,0.633333333,-20.03719700685252,3
434,idm42_F133,3,water_high,2,0.0,82.08759915,90.33494313,1.2,-5.610469344448972,3
435,idm42_F133,4,water_high,2,0.966666667,88.46541096,102.4147361,0.833333333,4.646292066811275,3
436,idm42_F133,5,water_high,3,0.4,106.3382594,103.944282,0.233333333,21.906299633162128,3
437,idm42_F133,6,water_high,3,0.0,101.2418045,94.68586306,0.266666667,13.848164886115718,3
438,idm42_F133,7,water_high,3,0.566666667,92.59586179,104.4764711,0.4,9.296495844148664,3
439,idm42_F133,8,water_high,2,0.0,84.73162196,94.7213193,0.8,-1.5532680400999825,3
440,idm42_F133,9,water_high,2,0.0,85.25290098,93.93821089,0.866666667,-1.3531660502174396,3
441,idm42_F133,10,water_high,2,0.0,85.6790431,93.62205202,0.766666667,-1.0658080441813205,3
532,idm43_0783,1,no_high,3,2.566666667,65.30923971,92.56168744,0.5,26.786387243376282,3
533,idm43_0783,2,no_high,2,0.0,72.66688286,95.24904659,0.566666667,19.318223554823795,3
534,idm43_0783,3,no_high,2,0.9,90.55760108,104.1735404,0.766666667,1.2365590660724115,3
535,idm43_0783,4,no_high,2,0.0,103.1859945,91.89122645,1.533333333,-11.089106179302082,3
536,idm43_0783,5,no_high,2,0.0,92.06794008,95.79882213,1.966666667,-0.13613946289007692,3
537,idm43_0783,6,no_high,2,0.0,104.3033966,95.50299137,2.166666667,-12.342759012161602,3
538,idm43_0783,7,no_high,2,0.0,94.61800157,97.79376998,3.033333333,-2.8034221718984544,3
539,idm43_0783,8,no_high,2,1.3,99.75908341,107.6372452,1.1,-8.04887690356342,3
540,idm43_0783,9,no_high,2,2.3,108.2041985,88.87453115,4.966666667,-16.204224265761834,3
541,idm43_0783,10,no_high,2,1.066666667,88.86190767,90.43702418,1.033333333,3.2833581313049605,3
502,idm43_7993,1,no_high,3,0.0,72.23310214,100.1010729,0.433333333,-10.803868659346774,6
503,idm43_7993,2,no_high,3,0.466666667,75.21032212,99.32505058,0.5,-7.752164890089144,6
504,idm43_7993,3,no_high,2,0.0,62.91683577,93.12068318,1.066666667,-19.25005296005904,6
505,idm43_7993,4,no_high,2,0.766666667,76.80894241,100.5583333,1.266666667,-6.261741052634001,6
506,idm43_7993,5,no_high,2,0.0,68.22792708,101.2501432,1.5,-14.862962805401764,6
507,idm43_7993,6,no_high,2,0.0,108.4981233,99.11872347,1.933333333,25.379921613498063,6
508,idm43_7993,7,no_high,2,0.0,102.2142122,97.68130647,2.533333333,19.319872526840037,6
509,idm43_7993,8,no_high,2,0.0,80.01549296,93.0476908,2.733333333,-2.203907821615878,6
510,idm43_7993,9,no_high,2,2.366666667,97.19835204,81.67789401,2.466666667,16.146372092251248,6
511,idm43_7993,10,no_high,2,0.2,83.84581995,104.045303,0.033333333,0.2885319565571797,6
512,idm43_7C63,1,no_high,2,1.4,97.54360095,97.87909259,2.066666667,-33.94030076622582,6
513,idm43_7C63,2,no_high,2,0.0,85.98147552,96.97998047,2.066666667,-31.319387391514827,6
514,idm43_7C63,3,no_high,2,8.033333333,53.68381012,-6.573619084,7.966666667,76.45054116159308,6
515,idm43_7C63,4,no_high,2,2.233333333,79.43041736,85.70055942,2.866666667,-19.027275825532627,6
516,idm43_7C63,5,no_high,2,2.766666667,109.3425438,103.7009993,3.6,-41.37771207829657,6
517,idm43_7C63,6,no_high,2,4.566666667,44.26299962,70.86392981,4.566666667,1.2937559798572502,6
518,idm43_7C63,7,no_high,2,4.633333333,56.09513507,93.6493969,3.733333333,-23.040316983331532,6
519,idm43_7C63,8,no_high,2,7.2,94.7211168,-7.12480942,7.9,70.52636912530524,6
520,idm43_7C63,9,no_high,2,4.366666667,46.83797175,88.35461685,4.266666667,-16.364838119309848,6
521,idm43_7C63,10,no_high,0,6.133333333,43.83189547,55.28774045,4.7,16.799164897455583,6
492,idm43_7E53,1,no_high,3,0.0,77.98996646,100.8177436,0.266666667,-12.821876439521082,3
493,idm43_7E53,2,no_high,3,0.0,74.35394275,99.5369552,0.1,-11.810907092662015,3
494,idm43_7E53,3,no_high,3,0.0,88.09890429,97.22990357,0.233333333,-8.591463958277572,3
495,idm43_7E53,4,no_high,3,0.0,92.80248143,98.66147328,0.4,-9.68007484865792,3
496,idm43_7E53,5,no_high,3,4.066666667,84.8350978,77.94483053,0.566666667,10.67582650757294,3
497,idm43_7E53,6,no_high,2,1.6,108.7419574,97.73153544,1.566666667,-7.4466792192572075,3
498,idm43_7E53,7,no_high,2,0.0,113.7159714,97.35520664,2.2,-6.828798582006527,3
499,idm43_7E53,8,no_high,2,6.966666667,99.20142221,27.7090854,7.5,62.22432313922769,3
500,idm43_7E53,9,no_high,2,3.666666667,106.4953041,98.92133329,3.733333333,-8.41989963296736,3
